2026-01-08 10:24:48	https://doi.org/10.1002/ecy.4467	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecy.4467
2026-01-08 23:59:41	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-08 23:59:43	10.1639/0007-2745-119.1.008	10.1639/0007-2745-119.1.008
2026-01-08 23:59:45	10.1111/mec.14361	10.1111/mec.14361
2026-01-08 23:59:46	10.22541/au.161832268.87346989/v1	10.22541/au.161832268.87346989/v1
2026-01-09 00:03:07	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-09 00:03:09	10.1639/0007-2745-119.1.008	10.1639/0007-2745-119.1.008
2026-01-09 00:03:11	10.1111/mec.14361	10.1111/mec.14361
2026-01-09 00:03:12	10.22541/au.161832268.87346989/v1	10.22541/au.161832268.87346989/v1
2026-01-09 00:03:14	10.1111/mec.12142	10.1111/mec.12142
2026-01-09 00:03:18	10.1002/ece3.3947	10.1002/ece3.3947
2026-01-09 00:03:20	10.1111/mec.13847	10.1111/mec.13847
2026-01-09 00:03:23	10.1111/mec.12500	10.1111/mec.12500
2026-01-09 00:03:26	10.1111/1365-2656.12645	10.1111/1365-2656.12645
2026-01-09 00:03:29	10.1002/eap.1713	10.1002/eap.1713
2026-01-09 00:03:32	10.1111/1755-0998.12412	10.1111/1755-0998.12412
2026-01-09 00:03:36	10.1111/mec.12358	10.1111/mec.12358
2026-01-09 00:03:38	10.1111/geb.12829	10.1111/geb.12829
2026-01-09 00:03:40	10.1111/mec.13795	10.1111/mec.13795
2026-01-09 00:03:47	10.1093/jhered/esx005	10.1093/jhered/esx005
2026-01-09 00:03:50	10.1111/jav.01273	10.1111/jav.01273
2026-01-09 00:03:52	10.1111/oik.06668	10.1111/oik.06668
2026-01-09 00:03:57	10.1600/036364416x692514	10.1600/036364416x692514
2026-01-09 00:04:00	10.1093/ee/nvy113	10.1093/ee/nvy113
2026-01-09 00:04:04	10.1007/s10592-019-01170-8	10.1007/s10592-019-01170-8
2026-01-09 00:04:15	10.1111/fwb.13497	10.1111/fwb.13497
2026-01-09 00:04:26	10.1038/s41477-020-0647-x	10.1038/s41477-020-0647-x
2026-01-09 00:04:28	10.1002/ece3.7260	10.1002/ece3.7260
2026-01-09 00:04:29	10.5281/zenodo.2231046	10.5281/zenodo.2231046
2026-01-09 00:04:31	10.3897/BDJ.8.e49450	10.3897/BDJ.8.e49450
2026-01-09 00:04:35	10.1017/9781316711644	10.1017/9781316711644
2026-01-09 00:04:36	10.1016/j.biocon.2014.06.016	10.1016/j.biocon.2014.06.016
2026-01-09 00:18:52	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-09 12:04:04	10.5281/zenodo.5898699	10.5281/zenodo.5898699
2026-01-09 12:42:26	10.5281/zenodo.5898699	10.5281/zenodo.5898699
